tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,date,pm2_5
52.88,84,41.6375,moderate,1696.1666,476.5320213,8.054167,35.395832,90.041664,19,01/01/2023,28.929167
51.08,86,36.229168,moderate,1600.375,476.5320213,6.1229167,33.375,101.583336,17,02/01/2023,25.179167
50.7,73,35.470833,low,1442.375,476.5320213,4.36875,32.160416,77.333336,24,03/01/2023,24.691666
51.71,95,36.3875,moderate,1502.0416,476.5320213,4.5666666,26.879166,69.083336,18,04/01/2023,25.324999
54.84,94,31.420832,low,1420.4584,476.5320213,3.425,25.9,70.458336,23,05/01/2023,21.908333
55.24,87,19.0875,very low,686.375,476.5320213,2.08125,14.087501,70.375,14,06/01/2023,13.320834
51.91,79,27.887499,low,1211.25,476.5320213,3.0916665,22.800001,62.333332,18,07/01/2023,19.516666
49.87,65,37.670834,moderate,1670.9584,476.5320213,4.4270835,32.09375,81.75,22,08/01/2023,26.3375
51.64,62,44.441666,moderate,1834.625,476.5320213,4.80625,33.48125,83.333336,33,09/01/2023,31.054167
54.03,80,40.458332,moderate,1630.625,476.5320213,4.272917,33.45625,75.375,21,10/01/2023,28.25
54.7,72,42.745834,moderate,1302.5834,476.5320213,9.229167,26.677084,106.25,28,11/01/2023,29.858332
54.09,64,33.620834,low,1367.0834,476.5320213,4.866667,26.760416,55.083332,28,12/01/2023,23.4625
51.84,64,36.600002,moderate,1650,476.5320213,4.0875,31.966667,70.291664,24,13/01/2023,25.5625
50.5,56,41.175,moderate,1779.6666,476.5320213,3.9354165,39.964584,78.958336,18,14/01/2023,28.779167
51.17,58,43.666668,moderate,1769.0416,476.5320213,4.21875,36.48125,101.958336,22,15/01/2023,30.483332
50.81,47,37.916668,moderate,1429.625,476.5320213,12.447917,31.333334,123.833336,30,16/01/2023,26.475
51.46,55,39.404167,moderate,1050.7084,476.5320213,7.6583333,21.19375,104.083336,24,17/01/2023,27.491667
52.5,75,45.2625,moderate,1475.625,476.5320213,5.4562497,33.79375,86.625,23,18/01/2023,31.583334
52.5,89,41.054165,moderate,1322.5,476.5320213,5.025,29.447916,90.041664,11,19/01/2023,28.620834
53.56,78,43.954166,moderate,1301.5416,476.5320213,9.54375,26.69375,111.791664,31,20/01/2023,30.65
54.36,73,42.266666,moderate,1398.25,476.5320213,6.660417,32.147915,96.208336,16,21/01/2023,29.487501
