tempF,humidity,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
52.88,84,41.6375,moderate,1696.1666,476.5320213,8.054167,35.395832,90.041664,56,28.929167,2023/01/01
51.08,86,36.229168,moderate,1600.375,476.5320213,6.1229167,33.375,101.583336,66,25.179167,2023/01/02
50.7,73,35.470833,low,1442.375,476.5320213,4.36875,32.160416,77.333336,233,24.691666,2023/01/03
51.71,95,36.3875,moderate,1502.0416,476.5320213,4.5666666,26.879166,69.083336,189,25.324999,2023/01/04
54.84,94,31.420832,low,1420.4584,476.5320213,3.425,25.9,70.458336,126,21.908333,2023/01/05
55.24,87,19.0875,very low,686.375,476.5320213,2.08125,14.087501,70.375,168,13.320834,2023/01/06
51.91,79,27.887499,low,1211.25,476.5320213,3.0916665,22.800001,62.333332,63,19.516666,2023/01/07
49.87,65,37.670834,moderate,1670.9584,476.5320213,4.4270835,32.09375,81.75,57,26.3375,2023/01/08
51.64,62,44.441666,moderate,1834.625,476.5320213,4.80625,33.48125,83.333336,308,31.054167,2023/01/09
54.03,80,40.458332,moderate,1630.625,476.5320213,4.272917,33.45625,75.375,238,28.25,2023/01/10
54.7,72,42.745834,moderate,1302.5834,476.5320213,9.229167,26.677084,106.25,184,29.858332,2023/01/11
54.09,64,33.620834,low,1367.0834,476.5320213,4.866667,26.760416,55.083332,140,23.4625,2023/01/12
51.84,64,36.600002,moderate,1650,476.5320213,4.0875,31.966667,70.291664,191,25.5625,2023/01/13
50.5,56,41.175,moderate,1779.6666,476.5320213,3.9354165,39.964584,78.958336,72,28.779167,2023/01/14
51.17,58,43.666668,moderate,1769.0416,476.5320213,4.21875,36.48125,101.958336,64,30.483332,2023/01/15
50.81,47,37.916668,moderate,1429.625,476.5320213,12.447917,31.333334,123.833336,231,26.475,2023/01/16
51.46,55,39.404167,moderate,1050.7084,476.5320213,7.6583333,21.19375,104.083336,281,27.491667,2023/01/17
52.5,75,45.2625,moderate,1475.625,476.5320213,5.4562497,33.79375,86.625,205,31.583334,2023/01/18
52.5,89,41.054165,moderate,1322.5,476.5320213,5.025,29.447916,90.041664,113,28.620834,2023/01/19
53.56,78,43.954166,moderate,1301.5416,476.5320213,9.54375,26.69375,111.791664,221,30.65,2023/01/20
54.36,73,42.266666,moderate,1398.25,476.5320213,6.660417,32.147915,96.208336,65,29.487501,2023/01/21
53.69,50,42.204166,moderate,905.5417,476.5320213,5.266667,11.78125,119.5,75,29.4625,2023/01/22
53.94,38,44.908337,moderate,737.125,476.5320213,6.7291665,8.016666,120.5,285,31.345833,2023/01/23
55.04,40,51.1875,moderate,786.8333,476.5320213,11.181251,9.145833,116.708336,273,35.720833,2023/01/24
53.82,62,42.508335,moderate,1037,476.5320213,9.622916,18.112501,103.666664,169,29.675001,2023/01/25
54.39,66,46.204166,moderate,1281.9584,476.5320213,7.8562503,27.425001,100.166664,142,32.2625,2023/01/26
56.34,62,52.649998,moderate,1548.4584,476.5320213,15.095833,32.95,129.5,121,36.649998,2023/01/27
54.86,64,44.7,moderate,1640.75,476.5320213,13.002083,37.033333,105.166664,74,31.129166,2023/01/28
53.26,75,53.233334,moderate,2052,476.5320213,7.7999997,34.754166,95.458336,53,37.175,2023/01/29
52.27,73,67.104164,high,2633.75,476.5320213,7.472917,47.78125,143.04167,240,46.904163,2023/01/30
