pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
41.6375,moderate,1696.1666,476.5320213,8.054167,35.395832,90.041664,111,28.929167,01/01/2023
36.229168,moderate,1600.375,476.5320213,6.1229167,33.375,101.583336,125,25.179167,02/01/2023
35.470833,low,1442.375,476.5320213,4.36875,32.160416,77.333336,498,24.691666,03/01/2023
36.3875,moderate,1502.0416,476.5320213,4.5666666,26.879166,69.083336,420,25.324999,04/01/2023
31.420832,low,1420.4584,476.5320213,3.425,25.9,70.458336,273,21.908333,05/01/2023
19.0875,very low,686.375,476.5320213,2.08125,14.087501,70.375,434,13.320834,06/01/2023
27.887499,low,1211.25,476.5320213,3.0916665,22.800001,62.333332,152,19.516666,07/01/2023
37.670834,moderate,1670.9584,476.5320213,4.4270835,32.09375,81.75,112,26.3375,08/01/2023
44.441666,moderate,1834.625,476.5320213,4.80625,33.48125,83.333336,880,31.054167,09/01/2023
40.458332,moderate,1630.625,476.5320213,4.272917,33.45625,75.375,417,28.25,10/01/2023
42.745834,moderate,1302.5834,476.5320213,9.229167,26.677084,106.25,400,29.858332,11/01/2023
33.620834,low,1367.0834,476.5320213,4.866667,26.760416,55.083332,270,23.4625,12/01/2023
36.600002,moderate,1650,476.5320213,4.0875,31.966667,70.291664,514,25.5625,13/01/2023
41.175,moderate,1779.6666,476.5320213,3.9354165,39.964584,78.958336,208,28.779167,14/01/2023
43.666668,moderate,1769.0416,476.5320213,4.21875,36.48125,101.958336,132,30.483332,15/01/2023
37.916668,moderate,1429.625,476.5320213,12.447917,31.333334,123.833336,717,26.475,16/01/2023
39.404167,moderate,1050.7084,476.5320213,7.6583333,21.19375,104.083336,479,27.491667,17/01/2023
45.2625,moderate,1475.625,476.5320213,5.4562497,33.79375,86.625,468,31.583334,18/01/2023
41.054165,moderate,1322.5,476.5320213,5.025,29.447916,90.041664,204,28.620834,19/01/2023
43.954166,moderate,1301.5416,476.5320213,9.54375,26.69375,111.791664,537,30.65,20/01/2023
42.266666,moderate,1398.25,476.5320213,6.660417,32.147915,96.208336,187,29.487501,21/01/2023
42.204166,moderate,905.5417,476.5320213,5.266667,11.78125,119.5,129,29.4625,22/01/2023
44.908337,moderate,737.125,476.5320213,6.7291665,8.016666,120.5,849,31.345833,23/01/2023
51.1875,moderate,786.8333,476.5320213,11.181251,9.145833,116.708336,427,35.720833,24/01/2023
42.508335,moderate,1037,476.5320213,9.622916,18.112501,103.666664,399,29.675001,25/01/2023
46.204166,moderate,1281.9584,476.5320213,7.8562503,27.425001,100.166664,258,32.2625,26/01/2023
52.649998,moderate,1548.4584,476.5320213,15.095833,32.95,129.5,282,36.649998,27/01/2023
44.7,moderate,1640.75,476.5320213,13.002083,37.033333,105.166664,194,31.129166,28/01/2023
53.233334,moderate,2052,476.5320213,7.7999997,34.754166,95.458336,92,37.175,29/01/2023
67.104164,high,2633.75,476.5320213,7.472917,47.78125,143.04167,683,46.904163,30/01/2023
58.8,high,1845.5416,476.5320213,11.308333,30.793749,146.79167,455,41.095833,31/01/2023
58.0625,high,1576.875,476.5320213,8.087501,30.606249,117.375,458,40.533333,01/02/2023
60.720837,high,1629.0834,476.5320213,8.564584,32.912502,136.54167,333,42.3625,02/02/2023
46.958332,moderate,1145.5834,476.5320213,5.491667,21.61875,113.416664,514,32.516666,03/02/2023
43.399998,moderate,936.625,476.5320213,4.2083335,18.854166,78.791664,237,30,04/02/2023
34.104168,low,809.2917,476.5320213,3.1812499,17.74375,62.583332,102,23.554167,05/02/2023
26.629166,low,1158.4166,476.5320213,3.5229168,22.018751,62.625,708,18.362501,06/02/2023
28.5625,low,1295.1666,476.5320213,3.7208335,25.120834,77.875,431,19.841667,07/02/2023
37.479168,moderate,1561.7916,476.5320213,3.7958333,28.033333,73.708336,493,26.145834,08/02/2023
36.241665,moderate,1685.2084,476.5320213,3.7958333,30.283333,86.875,227,25.304167,09/02/2023
34.0125,low,1652.4166,476.5320213,3.5416667,25.079168,80.333336,360,23.720833,10/02/2023
36.379166,moderate,1653.8334,476.5320213,3.5166667,30.041666,79.208336,193,25.320833,11/02/2023
41.920834,moderate,901.4583,476.5320213,4.5,10.954166,103.666664,96,29.229166,12/02/2023
43.875,moderate,610.375,476.5320213,5.2458334,6.9,90.541664,695,30.570833,13/02/2023
51.399998,moderate,584.6667,476.5320213,5.320833,7.133333,93.166664,420,35.820835,14/02/2023
54.995834,high,599.2083,476.5320213,5.4208336,7.8333335,112.333336,501,38.2,15/02/2023
38.954166,moderate,875.875,476.5320213,2.3125,16.3625,94.208336,321,27.170832,16/02/2023
36.195835,moderate,1202.1666,476.5320213,2.425,22.1875,71.833336,429,25.304167,17/02/2023
41.545834,moderate,2015.7916,476.5320213,3.9750001,40.716667,91,146,29.029167,18/02/2023
39.545834,moderate,1897.75,476.5320213,4.7791667,36.545834,109.708336,107,27.574999,19/02/2023
62.183334,high,1975.0834,476.5320213,7.7125,39.375,104.25,678,43.2625,20/02/2023
51.879166,moderate,1664.7916,476.5320213,4.766667,33.204166,70.625,508,35.920834,21/02/2023
50.895832,moderate,1632.8334,476.5320213,4.3458333,35.287502,83.875,435,35.241665,22/02/2023
57.675,high,1793.625,476.5320213,3.8374999,33.899998,74.708336,306,39.925,23/02/2023
60.925,high,1962.5834,476.5320213,5.233333,40.391666,124.916664,322,42.291668,24/02/2023
57.270832,high,1555.375,476.5320213,9.966666,32.716667,97.75,174,39.658333,25/02/2023
47.925,moderate,1979,476.5320213,8.033334,37.695835,88.958336,159,33.4875,26/02/2023
57.337498,high,2053.2083,476.5320213,11.191667,42.470833,120.708336,692,39.658333,27/02/2023
70.950005,high,2012.375,476.5320213,10.183333,39.066666,148.54167,408,49.245834,28/02/2023
75.395836,high,1256,476.5320213,11.608334,11.787499,158.75,417,52.45,01/03/2023
69.99167,high,883.25,476.5320213,9.779166,6.679167,154.70833,240,48.716663,02/03/2023
55.162502,high,660.8333,476.5320213,6.054167,5.929167,115.875,517,38.320835,03/03/2023
61.879166,high,680.5833,476.5320213,8.266666,6.4249997,126.083336,170,42.895832,04/03/2023
68.433334,high,792.0833,476.5320213,6.620833,7.3583336,122.291664,80,47.233334,05/03/2023
63.712498,high,1229,476.5320213,4.6916666,24.479166,107.208336,139,44.07083,06/03/2023
64.441666,high,1286.2916,476.5320213,3.5291665,24.645834,93.5,523,44.675,07/03/2023
67.645836,high,1703.3334,476.5320213,4.2374997,34.649998,99.708336,497,46.970837,08/03/2023
70.316666,high,1144.7084,476.5320213,5.6541667,11.175,152.79167,298,48.899998,09/03/2023
66.333336,high,842.4583,476.5320213,6.179167,6.5958333,115.416664,542,46.05417,10/03/2023
82.65,high,1048.8334,476.5320213,8.108334,7.804167,121.708336,320,57.583332,11/03/2023
